,Latitude,Longitude,Temperature,Max Temp,Humidity,Cloudiness,Wind Speed
Kampot,10.6167,104.1833,75.25,78.13,89,100,2.93
Bishoftu,8.75,38.9833,67.33,67.33,86,77,4.68
Ha Tinh,18.3333,105.9,75.78,75.78,93,54,4.85
Thompson,55.7435,-97.8558,46.56,56.66,71,75,3.22
Istok,42.7808,20.4875,51.08,51.08,60,75,5.08
Chernyshevskiy,63.0128,112.4714,25.56,25.56,77,52,9.31
Cambridge,43.3601,-80.3127,60.91,67.35,39,0,5.99
Kieta,-6.2167,155.6333,78.39,78.39,87,97,5.1
Puerto Colombia,10.9878,-74.9547,89.69,89.69,68,75,7.63
Tessalit,20.1986,1.0114,96.78,96.78,10,2,8.97
Chipinge,-20.1883,32.6236,70.72,70.72,54,0,10.0
Khingansk,49.1167,131.1833,22.42,22.42,68,4,4.9
Teahupoo,-17.8333,-149.2667,67.96,70.65,75,90,26.02
Lebu,-37.6167,-73.65,53.96,53.96,85,79,11.34
Beloha,-25.1667,45.05,68.58,68.58,92,0,4.79
Biak,-0.9131,122.8766,75.76,75.76,84,90,0.4
Beringovskiy,63.05,179.3167,37.49,37.49,83,92,8.01
Keminmaa,65.8596,24.8228,46.17,46.17,87,100,6.33
Hofn,64.2539,-15.2082,46.18,46.18,92,100,10.96
Sobolevo,54.4299,31.8996,42.8,42.8,95,100,10.27
Walvis Bay,-22.9575,14.5053,65.35,65.35,63,4,16.22
Saint-Joseph,-21.3667,55.6167,71.98,71.98,80,58,10.87
Souillac,-20.5167,57.5167,71.98,71.98,78,40,11.97
Kotel'nich,58.3089,48.348,47.62,47.62,75,99,9.19
Luján,-34.5703,-59.105,68.41,75.18,44,60,11.63
Cerritos,33.8583,-118.0648,71.64,75.92,82,40,5.17
Flin Flon,54.7682,-101.865,46.24,56.73,100,75,4.45
Inuvik,68.3499,-133.7218,30.06,31.3,93,75,16.11
Fayetteville,35.0527,-78.8784,65.37,69.44,47,0,10.09
Monrovia,6.3005,-10.7969,85.77,85.77,82,91,9.8
St. George's,12.0564,-61.7485,83.88,83.88,79,40,10.27
Kattivākkam,13.2167,80.3167,87.89,87.89,74,100,6.8
Kondinskoye,59.6481,67.41,50.22,50.22,93,98,5.19
Sola,-13.8833,167.55,79.68,79.68,78,42,16.35
Nhulunbuy,-12.2333,136.7667,75.81,78.15,88,44,5.14
Tuktoyaktuk,69.4541,-133.0374,28.4,29.73,93,75,15.55
Aranda de Duero,41.6704,-3.6892,71.01,71.01,26,0,5.44
Olean,42.0776,-78.4297,51.82,52.47,66,40,4.72
Ribeira Grande,38.5167,-28.7,75.6,75.6,73,20,10.83
Letterkenny,54.95,-7.7333,57.09,57.09,95,100,1.61
Tarazá,7.5836,-75.4007,88.66,88.66,66,58,4.0
Charlestown,-32.95,151.6667,59.0,59.0,86,97,6.73
Ovsyanka,55.9575,92.5519,25.77,31.51,76,19,4.21
Jamestown,42.097,-79.2353,57.33,58.77,45,0,7.18
Hilo,19.7297,-155.09,72.25,78.17,93,0,4.05
Vitim,59.4511,112.5578,25.72,25.72,85,87,4.61
Bilibino,68.0546,166.4372,17.69,17.69,89,80,4.03
Lüderitz,-26.6481,15.1594,58.82,58.82,73,0,20.87
Bathsheba,13.2167,-59.5167,86.61,86.61,74,40,17.13
La Asuncion,11.0333,-63.8628,96.53,96.53,49,72,8.32
Necochea,-38.5473,-58.7368,67.1,67.1,39,84,12.97
El Alto,-4.2714,-81.2147,71.26,72.36,61,19,20.33
Kashgar,39.4547,75.9797,58.21,58.21,51,83,3.15
